commodity,n_markets,mean_modal,std_modal,min_modal,max_modal,price_gap,price_gap_ratio,cv,norm_cv,norm_price_gap_ratio,integration_score,integration_rank,integration_level
Little gourd (Kundru),37,3096.4864864864867,1063.2163368661052,70.0,6000.0,5930.0,1.9150737540368332,0.34336217564847593,0.17515239441622169,0.07142185450250162,0.8021985059192411,128,Moderately Integrated
Papaya (Raw),8,2137.5,890.7260281045217,1150.0,3400.0,2250.0,1.0526315789473684,0.4167139312769692,0.21256984032068058,0.03925744338453897,0.7988322454836989,129,Moderately Integrated
Seetapal,6,4225.0,1730.2456472998279,2500.0,7500.0,5000.0,1.183431952662722,0.4095255969940421,0.20890300089918334,0.04413558723705565,0.7980600194343521,130,Moderately Integrated
Moath Dal,2,8050.0,3676.9552621700473,5450.0,10650.0,5200.0,0.6459627329192547,0.45676462884099966,0.23300009173999123,0.024090903145294724,0.7954873625447086,131,Moderately Integrated
Green Avare (W),150,5786.0,2010.7439606194978,2600.0,15000.0,12400.0,2.1431040442447284,0.34751883176970233,0.17727274524118558,0.07992614639990823,0.7954190913218534,132,Moderately Integrated
Mint(Pudina),158,4164.006329113924,1391.091284475295,6.0,10000.0,9994.0,2.400092413434603,0.33407520895178633,0.1704150221336841,0.0895104174361669,0.793697760671781,133,Moderately Integrated
Ridgeguard(Tori),230,3346.774891774892,1172.5862762257298,600.0,8000.0,7400.0,2.2110838760582325,0.35036305522295624,0.17872361136280002,0.0824614250786819,0.7929050623860611,134,Moderately Integrated
Chilly Capsicum,8,3331.25,1361.9674581805755,1000.0,6000.0,5000.0,1.5009380863039399,0.40884576605795886,0.20855621250867898,0.05597684234943643,0.7908057414222384,135,Moderately Integrated
Duster Beans,2,5400.0,2545.584412271571,3600.0,7200.0,3600.0,0.6666666666666666,0.4714045207910317,0.24046804339832428,0.02486304747687468,0.7903069854296586,136,Moderately Integrated
Peas cod,8,10343.75,4405.632555523181,4000.0,18000.0,14000.0,1.353474320241692,0.425922180594386,0.21726705810036484,0.05047724442434981,0.7888025984486766,137,Moderately Integrated
