commodity,risk_index,spatial_volatility,integration_score,number_of_markets,fragmentation,cv,norm_risk_index,norm_fragmentation,norm_spatial_volatility,norm_number_of_markets,norm_inverted_integration,composite_risk,composite_rank,risk_category
Plum,0.4245006189447884,2456.79,0.7677715258859814,3,0.9858657243816252,0.5208749052153431,0.6091534892625108,0.036767439466685696,0.1626454218715554,0.0018148820326678765,0.3483427111710279,0.2768998858986567,38,Moderately Stable
Cauliflower,0.1820997050175263,1875.56,0.6922075541540467,292,5.50968394792422,0.4688640108895217,0.258552199610394,0.20548130036972131,0.12416659439570106,0.5263157894736842,0.46168866876893,0.27565418311739665,39,Moderately Stable
Bhindi(Ladies Finger),0.1664032093323151,1081.84,0.7170920909316555,449,4.506000817109207,0.4439665362283873,0.23584926693124864,0.1680493683699335,0.07162041655881189,0.8112522686025407,0.4243618636025167,0.27187071188425194,40,Moderately Stable
Cabbage,0.1540545463787561,1239.95,0.6746469497397468,323,6.252898336945841,0.4882431549608803,0.2179885374197409,0.2331991623293328,0.08208767979747357,0.5825771324863883,0.4880295753903797,0.27157603732494595,41,Moderately Stable
Peas Wet,0.3338038208967026,4323.79,0.7811859019170118,24,1.7525354969574036,0.4209779679601481,0.47797240645306927,0.06536005989864013,0.2862453236271771,0.039927404718693285,0.32822114712448236,0.2702067141765579,42,Moderately Stable
Marigold(Calcutta),0.2321700902742816,5873.07,0.7308074009077691,29,2.636363636363636,0.5293518251649175,0.33097247790053463,0.09832205138582259,0.3888113952886391,0.04900181488203267,0.4037888986383463,0.2671030515582991,43,Moderately Stable
Amphophalus,0.1838321828939645,5592.01,0.6707311059440535,23,3.5677975346351043,0.7015175591163396,0.26105800277727176,0.13305947923726355,0.37020454558995947,0.038112522686025406,0.49390334108391987,0.2635199331916798,44,Moderately Stable
Fig(Anjura/Anjeer),0.2932854406406173,5678.91,0.7765157345231922,4,1.1063829787234043,0.4833113485787467,0.4193678568981895,0.04126207879140905,0.3759575351253443,0.003629764065335753,0.33522639821521183,0.26196431993119335,45,Moderately Stable
Capsicum,0.1762105962180932,2918.92,0.6887452675314555,157,5.304999456580807,0.4980652127192456,0.25003437223701025,0.1978476800306445,0.1932395421706049,0.28130671506352084,0.4668820987028167,0.26128312642465973,46,Moderately Stable
Banana,0.2091450469043217,1776.95,0.75882824275844,345,2.6468673517317534,0.4295300920497213,0.2976697573413777,0.09871378294664422,0.11763837462488058,0.6225045372050816,0.3617576358623401,0.25402114696390965,47,Moderately Stable
