market,state,avg_price_spread_ratio,avg_composite_risk,n_commodities,market_instability_index,market_rank
Tiruvuru,Andhra Pradesh,0.0769230769230769,0.08496534601510954,1,0.08013998455988995,980
Jangipur,West Bengal,0.016892487277240503,0.1749272069573304,6,0.08010637514927646,981
Bharuasumerpur,Uttar Pradesh,0.028930781018288748,0.15588774380552586,10,0.0797135661331836,982
Simariya,Madhya Pradesh,0.0519523468625498,0.12109335102231997,1,0.07960874852645787,983
Kandi,West Bengal,0.03393334361188196,0.14771473186400058,5,0.0794458989127294,984
Samraniyan,Rajasthan,0.05515805675805672,0.11482085928070815,5,0.07902317776711729,985
Zalod(Zalod),Gujarat,0.06653032564890808,0.0971861653476873,5,0.07879266152841977,986
Gazipur,Uttar Pradesh,0.01564333259525875,0.1733025117633238,23,0.07870700426248477,987
Pandhana,Madhya Pradesh,0.07662790697674415,0.08045462228468535,1,0.07815859309992063,988
Jhansi (Grain),Uttar Pradesh,0.05926548227244492,0.10570452528778287,4,0.0778410994785801,989
Semriharchand,Madhya Pradesh,0.055396825396825396,0.1103977589056015,3,0.07739719880033583,990
Jaspur,Chattisgarh,0.0,0.19344885756929117,6,0.07737954302771648,991
Sankeshwar,Karnataka,0.06534738142854815,0.09510457999560176,2,0.0772502608553696,992
Lediyari,Uttar Pradesh,0.048,0.12109335102231997,1,0.07723734040892799,993
Vadvani,Maharashtra,0.0749812546863284,0.08045462228468535,1,0.07717060172567117,994
Dahod,Gujarat,0.06247586111187394,0.09909280064384937,12,0.07712263692466412,995
Charla,Telangana,0.0714285714285714,0.08496534601510954,1,0.07684328126318665,996
Dhari,Gujarat,0.0564246668351695,0.10726750767334704,6,0.07676180317044051,997
Obedullaganj,Madhya Pradesh,0.051046209761162996,0.11467599575228889,4,0.07649812415761335,998
Srirangapattana,Karnataka,0.0833333333333333,0.06533289490071172,1,0.07613315796028466,999
Nagod,Madhya Pradesh,0.0294117647058823,0.14473683693526315,1,0.07554179359763465,1000
Gautampura,Madhya Pradesh,0.05300470545164796,0.1075471081097751,2,0.07482166651489881,1001
Gogamba(Similiya),Gujarat,0.0526645768025078,0.10599401713350032,2,0.07399635293490481,1002
Beldanga,West Bengal,0.0262470539211192,0.14321781297655517,4,0.07303535754329359,1003
Haatpipliya,Madhya Pradesh,0.0666666666666666,0.08045462228468535,1,0.07218184891387411,1004
Saharanpur,Uttar Pradesh,0.06405235995391055,0.08351933262803948,21,0.07183914902356213,1005
Kurara,Uttar Pradesh,0.07248157248157244,0.07057573782347594,2,0.07171923861833385,1006
Chimur,Maharashtra,0.0625,0.08496534601510954,1,0.07148613840604381,1007
Bhehjoi,Uttar Pradesh,0.023344235247512723,0.14236672947626344,4,0.07095323293901301,1008
Vijapur,Gujarat,0.0619555645871435,0.08420326223039339,2,0.07085464364444345,1009
Bavla,Gujarat,0.03659200968522995,0.12109335102231997,1,0.07039254622006597,1010
Dehgam,Gujarat,0.05581514866065986,0.09222399987175547,5,0.0703786891450981,1011
A lot,Madhya Pradesh,0.0629796839729119,0.08045462228468535,1,0.06996965929762128,1012
Udaipura,Madhya Pradesh,0.0565217391304347,0.08966296970980346,1,0.0697782313621822,1013
Mangrol,Gujarat,0.047417951451799424,0.10207399998516922,5,0.06928037086514735,1014
Sidhi,Madhya Pradesh,0.0346938775510204,0.12109335102231997,1,0.06925366693954023,1015
Jabalpur,Madhya Pradesh,0.023570832297819998,0.13493047254016827,4,0.06811468839475932,1016
Sendhwa,Madhya Pradesh,0.037486515641855435,0.11353414214511877,2,0.06790556624316077,1017
Aligarh,Uttar Pradesh,0.026710806244480953,0.12927801194529034,17,0.0677376885248047,1018
Fatehnagar,Rajasthan,0.04705225871752244,0.09728497592836134,3,0.067145345601858,1019
Nawalgarh,Rajasthan,0.0289855072463768,0.12295426830928381,1,0.0665730116715396,1020
Shamgarh,Madhya Pradesh,0.029275922099213925,0.12071195555380416,8,0.06585033548105002,1021
Silvani,Madhya Pradesh,0.0285606914693724,0.12109335102231997,1,0.06557375529055143,1022
Uthukottai,Tamil Nadu,0.0526315789473684,0.08496534601510954,1,0.06556508577446485,1023
Hadad    ,Gujarat,0.031768953068592,0.1157715050588452,1,0.06536997386469329,1024
Palanpur,Gujarat,0.046351908059202696,0.09375234919782467,6,0.0653120845146515,1025
Sironj,Madhya Pradesh,0.04393189240873003,0.09707031433893626,3,0.06518726118081253,1026
Rajapalayam,Tamil Nadu,0.0512820512820512,0.08496534601510954,1,0.06475536917527452,1027
Kasdol,Chattisgarh,0.0512820512820512,0.08496534601510954,1,0.06475536917527452,1028
Chhindwara,Madhya Pradesh,0.0066225165562913,0.15071740678395584,1,0.06426047264735713,1029
Jahanabad,Uttar Pradesh,0.0031315723403101997,0.15568146818844456,4,0.06415153067956395,1030
Deesa(Bhildi),Gujarat,0.04321574435442338,0.09538545967187817,6,0.06408363048140531,1031
Palani,Tamil Nadu,0.05,0.08496534601510954,1,0.06398613840604381,1032
Modasar        ,Gujarat,0.0289855072463768,0.1157715050588452,1,0.06369990637136416,1033
Kalediya,Gujarat,0.0289855072463768,0.1157715050588452,1,0.06369990637136416,1034
Vijaypur,Madhya Pradesh,0.0642201834862385,0.06199553018812952,1,0.0633303221669949,1035
Tanakpur,Uttrakhand,0.0350877192982456,0.10561192994428008,1,0.06329740355665939,1036
Khargapur,Madhya Pradesh,0.024,0.12109335102231997,1,0.062837340408928,1037
Thara(Shihori),Gujarat,0.05272496915092256,0.07680068488297209,3,0.062355255443742374,1038
Anta,Rajasthan,0.035837037613991624,0.10182296232462859,4,0.06223140749824642,1039
Gohad,Madhya Pradesh,0.04301345199584285,0.09105019503928291,2,0.06222814921321888,1040
Datia,Madhya Pradesh,0.0227035756240216,0.12109335102231997,1,0.06205948578334095,1041
Uniyara,Rajasthan,0.030511267809289064,0.108945742337943,3,0.06188505762075064,1042
Nizar,Gujarat,0.0255033557046979,0.1157715050588452,1,0.06161061544635682,1043
