,commodity,n_markets,mean_modal,min_modal,max_modal,std_modal,price_gap,price_gap_ratio,fragmentation_rank
108,Black pepper,12,61192.307692307695,36000.0,90000.0,11630.667904184864,54000.0,0.8824638592080453,109
109,Turnip,17,4829.411764705882,2800.0,7000.0,1455.920973938126,4200.0,0.8696711327649209,110
110,Jack Fruit,7,2335.714285714286,1500.0,3500.0,687.2131436184154,2000.0,0.8562691131498471,111
111,Black Gram Dal (Urd Dal),34,10270.764705882353,5193.0,13900.0,1543.4278862093615,8707.0,0.8477460295642114,112
112,Groundnut,95,5482.108910891089,3450.0,8000.0,980.0224681198905,4550.0,0.8299725660248549,113
113,Arhar (Tur/Red Gram)(Whole),32,9308.212121212122,6000.0,13600.0,1562.1992662104553,7600.0,0.8164833268765606,114
114,Gur(Jaggery),76,4326.925925925926,2000.0,5480.0,527.7459800362715,3480.0,0.8042661371087163,115
115,Bengal Gram(Gram)(Whole),128,7127.87969924812,4801.0,10500.0,683.535240358557,5699.0,0.7995365018016726,116
116,Indian Beans (Seam),54,5762.037037037037,3500.0,8000.0,1013.6304630305405,4500.0,0.7809738068455728,117
117,Wheat,316,2660.7687861271675,2012.0,4000.0,207.93939336432902,1988.0,0.7471524810292128,118
118,Dry Chillies,2,12100.0,8200.0,17200.0,4259.890452425587,9000.0,0.743801652892562,119
119,Bajra(Pearl Millet/Cumbu),84,2338.329411764706,1675.0,3400.0,206.89866326959455,1725.0,0.7377061552239407,120
120,Turmeric (raw),2,6075.0,3900.0,8250.0,3075.914498161482,4350.0,0.7160493827160493,121
121,Tube Rose(Loose),9,7111.111111111111,5000.0,10000.0,1900.29237516523,5000.0,0.703125,122
122,Kartali (Kantola),4,7362.5,4250.0,9200.0,2189.130344832547,4950.0,0.6723259762308998,123
123,Duster Beans,2,5400.0,3600.0,7200.0,2545.584412271571,3600.0,0.6666666666666666,124
124,Lentil (Masur)(Whole),43,6818.604651162791,5400.0,9900.0,1035.762570226697,4500.0,0.6599590723055935,125
125,Moath Dal,2,8050.0,5450.0,10650.0,3676.9552621700473,5200.0,0.6459627329192547,126
126,"Sesamum(Sesame,Gingelly,Til)",37,12114.886363636364,9705.0,17200.0,1721.9058831734676,7495.0,0.6186603633771375,127
